text,author,valid_from,valid_to
"Strive for that which will benefit you, seek the help of Allah, and do not feel helpless.","Hadith Muslim",,
"The Messenger of Allah (PBUH) said: Whoever among you wakes up physically healthy, feeling safe and secure within himself, with food for the day, it is as if he acquired the whole world.","Salamah bin 'Ubaidullah bin Mihsan Al-Ansari",,
"The Prophet (PBUH) said, ""So his wealth is whatever he spends (in Allah's Cause) during his life (on good deeds) while the wealth of his heirs is whatever he leaves after his death.","Al-Bukhari",,
"Truly, for every nation there is a trial, and the trial for my nation is wealth","Prophet Muhammad (PBUH)",,
"If the son of Adam had a valley full of gold, he would like to have two valleys.","Prophet Muhammad (PBUH)",,
"Believe in Allah and His Messenger and spend out of that of which He has made you trustees. For those who have believed among you and spent, there will be a great reward.","Qur'an 57:7",,
"And [they are] those who, when they spend, do so not excessively or sparingly but are ever, between that, justly moderate.","Qur'an 25:67",,
"Eat, drink, give in charity, and wear nice clothing, but without pride and extravagance. Verily, Allah loves for His blessings to be seen upon His servants.","Prophet Muhammad (PBUH)",,
"The example of those who spend their wealth in the way of Allah is like a seed [of grain] which grows seven spikes; in each spike is a hundred grains. And Allah multiplies [His reward] for whom He wills.","Qur'an 2:261",,
"Compare [yourself] to those who are lower than you [in wealth] and do not look at those who are above you [in wealth], for it is more suitable that you do not discount the blessings of Allah.","Prophet Muhammad (PBUH)",,
"Charity does not decrease wealth, no one forgives another person but Allah increases their honor, and no one humbles himself for the sake of Allah but that Allah raises their status.","Prophet Muhammad (PBUH)",,
"And if you should count the favors of Allah, you could not enumerate them.","Qur'an 17:100",,
"Tie your camel first, and then put your trust in Allah.","Prophet Muhammad (PBUH)",,
"Richness does not lie in the abundance of (worldly) goods but richness is the richness of the soul (heart, self).","Prophet Muhammad (PBUH)",,
"Wealth is not in having many possessions, but rather (true) wealth is feeling sufficiency in the soul.","Prophet Muhammad (PBUH)",,